DOY,lon,lat,temp,rcp26,rcp85,rcp26Smoothed,rcp85Smoothed,rcp26added,rcp85added
173,-111.5990982,66.861763,9.176134596,2.331786156,6.930094719,2.249315415,6.637872914,11.42545001,15.81400751
174,-111.5990982,66.861763,9.49530444,2.331786156,6.930094719,2.229887443,6.578141253,11.72519188,16.07344569
175,-111.5990982,66.861763,9.814474284,2.331786156,6.930094719,2.210459472,6.518409591,12.02493376,16.33288388
176,-111.5561981,66.58468628,10.13364413,2.331786156,6.930094719,2.1910315,6.45867793,12.32467563,16.59232206
177,-111.5561981,66.58468628,10.38191588,2.331786156,6.930094719,2.170883044,6.390824089,12.55279892,16.77273997
178,-111.5561981,66.58468628,10.63018763,2.331786156,6.930094719,2.150734589,6.322970248,12.78092222,16.95315788
179,-111.5139999,66.30708313,10.87845938,2.242215157,6.5587883,2.130586134,6.255116407,13.00904552,17.13357579
180,-111.5139999,66.30708313,11.12673113,2.242215157,6.5587883,2.110437678,6.187262566,13.23716881,17.3139937
181,-111.5139999,66.30708313,11.37500288,2.242215157,6.5587883,2.090289223,6.119408725,13.46529211,17.49441161
182,-112.157402,66.01101685,11.62327464,2.242215157,6.5587883,2.070140768,6.051554884,13.6934154,17.67482952
183,-112.157402,66.01101685,11.87154639,1.759655476,4.875080585,2.049992312,5.983701043,13.9215387,17.85524743
184,-112.157402,66.01101685,12.11981814,1.759655476,4.875080585,2.029843857,5.915847202,14.14966199,18.03566534
185,-112.157402,66.01101685,12.36808989,1.759655476,4.875080585,2.009695401,5.847993361,14.37778529,18.21608325
186,-112.157402,66.01101685,12.61636164,1.759655476,4.875080585,1.989546946,5.78013952,14.60590859,18.39650116
187,-112.157402,66.01101685,12.75044899,1.759655476,4.875080585,1.971759144,5.717217639,14.72220813,18.46766663
188,-112.157402,66.01101685,12.88453633,1.759655476,4.875080585,1.953971342,5.654295759,14.83850768,18.53883209
189,-112.157402,66.01101685,13.01862368,1.759655476,4.875080585,1.93618354,5.591373878,14.95480722,18.60999756
190,-112.157402,66.01101685,13.15271103,1.759655476,4.875080585,1.918395738,5.528451997,15.07110676,18.68116302
191,-112.157402,66.01101685,13.28679837,1.759655476,4.875080585,1.900607936,5.465530117,15.18740631,18.75232849
192,-112.157402,66.01101685,13.42088572,1.759655476,4.875080585,1.882820134,5.402608236,15.30370585,18.82349396
193,-112.157402,66.01101685,13.55497307,1.759655476,4.875080585,1.865032332,5.339686355,15.4200054,18.89465942
194,-112.157402,66.01101685,13.68906041,1.759655476,4.875080585,1.84724453,5.276764475,15.53630494,18.96582489
195,-112.157402,66.01101685,13.82314776,1.759655476,4.875080585,1.829456728,5.213842594,15.65260449,19.03699035
196,-112.157402,66.01101685,13.95723511,1.759655476,4.875080585,1.811668926,5.150920714,15.76890403,19.10815582
197,-112.157402,66.01101685,13.97144573,1.759655476,4.875080585,1.800099666,5.126512015,15.77154539,19.09795774
